language,sentences,chars,tokens_cl100k_base,ratio_cl100k_base,chars_per_token_cl100k_base,tokens_o200k_base,ratio_o200k_base,chars_per_token_o200k_base
shn_Mymr,1012,188284,407164,14.9792,0.462,213080,7.9291,0.884
sat_Olck,1012,139791,346245,12.738,0.404,368158,13.6999,0.38
ory_Orya,1012,134839,337072,12.4006,0.4,133961,4.985,1.007
dzo_Tibt,1012,163408,330047,12.1421,0.495,241756,8.9962,0.676
mya_Mymr,1012,163169,315796,11.6178,0.517,85029,3.1641,1.919
bod_Tibt,1012,148231,304033,11.1851,0.488,217625,8.0983,0.681
taq_Tfng,1012,123925,274485,10.098,0.451,274417,10.2116,0.452
tzm_Tfng,1012,117981,272699,10.0323,0.433,272694,10.1475,0.433
hye_Armn,1012,145956,268572,9.8805,0.543,48032,1.7874,3.039
kat_Geor,1012,143932,265053,9.751,0.543,47980,1.7854,3.0
lao_Laoo,1012,130089,259443,9.5447,0.501,221164,8.23,0.588
mal_Mlym,1012,149336,242932,8.9372,0.615,52584,1.9568,2.84
kan_Knda,1012,138140,240818,8.8595,0.574,52975,1.9713,2.608
khm_Khmr,1012,153214,236895,8.7151,0.647,89642,3.3358,1.709
sin_Sinh,1012,131080,235883,8.6779,0.556,72432,2.6953,1.81
tel_Telu,1012,132505,225286,8.2881,0.588,51863,1.9299,2.555
pan_Guru,1012,133425,213407,7.851,0.625,70345,2.6177,1.897
tir_Ethi,1012,90701,211420,7.7779,0.429,160330,5.9662,0.566
guj_Gujr,1012,126428,208278,7.6624,0.607,48135,1.7912,2.627
tam_Taml,1012,154133,207772,7.6437,0.742,53199,1.9796,2.897
amh_Ethi,1012,87132,206404,7.5934,0.422,155290,5.7787,0.561
mni_Beng,1012,136821,182363,6.709,0.75,82575,3.0728,1.657
asm_Beng,1012,125943,167224,6.152,0.753,53440,1.9886,2.357
ben_Beng,1012,129042,157626,5.7989,0.819,45592,1.6966,2.83
ydd_Hebr,1012,141826,150523,5.5376,0.942,54391,2.024,2.608
uig_Arab,1012,140477,140539,5.1703,1.0,67672,2.5182,2.076
ell_Grek,1012,157781,139449,5.1302,1.131,57519,2.1404,2.743
mar_Deva,1012,133252,137410,5.0552,0.97,48965,1.8221,2.721
san_Deva,1012,128374,134349,4.9426,0.956,56143,2.0892,2.287
mai_Deva,1012,129411,132546,4.8762,0.976,47257,1.7585,2.738
ckb_Arab,1012,128586,130360,4.7958,0.986,74443,2.7702,1.727
